id,term,category_parent,category_sub,name,professor,credit
30346,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,フランス語中級（会話）,ラタンジオ リリアンヌ,2.0
30347,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,中国語初級（インテンシヴ）,楊 凱栄,2.0
30348,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,中国語初級（インテンシヴ）,毛 興華,2.0
30349,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,中国語初級（インテンシヴ）,賈 黎黎,2.0
30350,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,中国語上級（演習）,秋山 珠子,2.0
30351,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ロシア語初級（会話）,ゴロウィナ クセーニヤ,2.0
30352,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,スペイン語中級（作文）,深澤 晴奈,2.0
30353,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,スペイン語中級（インテンシヴ）,ドニャス ベレニャ アントニオ,2.0
30354,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,韓国朝鮮語初級（第三外国語）,岩井 智彦,2.0
30355,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,韓国朝鮮語中級（会話）,張 銀英,2.0
30356,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,韓国朝鮮語中級（表現練習）,根本 理恵,2.0
30357,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,イタリア語初級（インテンシヴ）,日向 太郎,2.0
30358,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,イタリア語初級（第三外国語）,宮坂 真紀,2.0
30359,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ドイツ語初級（演習）,稲葉 治朗,2.0
30360,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ドイツ語初級（インテンシヴ）,Ｉ・カウフマン,2.0
30361,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ドイツ語初級（演習）①,稲葉 治朗,2.0
30362,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ドイツ語中級（インテンシヴ）,クリスティアン クリンク,2.0
30363,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,フランス語初級（演習）,伊達 聖伸,2.0
30364,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,フランス語初級（演習）,桑田 光平,2.0
30365,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,中国語初級（インテンシヴ）,鄧 芳,2.0
30366,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,中国語初級（インテンシヴ）,李 彦銘,2.0
